Congressional District,Two-Digit District,Average Household Size,% Housing Units That Are Mobile Homes,% Housing Units Built in 2005 or Later,% Housing Units Built in 1939 or Earlier,% Homes Heated Principally With Gas,% Homes Heated Principally With Electricity,"% Homes Heated Principally with Fuel Oil, Kerosene, Etc."
Illinois 12,IL-12,2.42,8.2,3.5,18.6,65.8,32.3,0.4
Illinois 13,IL-13,2.84,0.1,3.8,3.8,N,N,N
Illinois 14,IL-14,2.93,0.8,7.6,16.9,90.1,9.1,0.3
Illinois 15,IL-15,2.33,5.2,3.6,22.8,76.4,21.4,0.5
Illinois 16,IL-16,2.69,2.2,3.6,20.3,87.6,10,0.8
Illinois 17,IL-17,2.3,5.3,1.1,28.5,81.9,15.7,0.4
Illinois 18,IL-18,2.35,3.8,2.7,23.3,80,18.3,0.2
Illinois 19,IL-19,2.41,10.2,3.3,19.3,76.1,20.4,0.6
Indiana 1,IN-01,2.61,2.8,4,16,91.9,6.8,0.4
Indiana 2,IN-02,2.53,5.6,2.2,22.4,87,9.8,0.8
Indiana 3,IN-03,2.57,6.7,3.6,20.5,80.9,13.8,1.1
Indiana 4,IN-04,2.54,5.2,5.9,13.6,66.1,30.3,1.4
Indiana 5,IN-05,2.57,3.6,5.7,13.8,66.7,30.7,1.2
Indiana 6,IN-06,2.48,6.1,2.5,25.7,65.9,27,2.9
Indiana 7,IN-07,2.35,1.5,2.2,22.3,68,30.5,0.3
Indiana 8,IN-08,2.38,7.8,2.6,24.9,63.9,31.2,1.9
Indiana 9,IN-09,2.42,10.6,3.2,14.4,53.6,39.6,1.9
Iowa 1,IA-01,2.4,3.8,2.8,27.3,82,13.1,1.9
Iowa 2,IA-02,2.39,6.1,3.7,25,80.5,16,0.2
Iowa 3,IA-03,2.43,3.1,4.9,23.5,78.8,17.7,0.6
Iowa 4,IA-04,2.35,3.6,3.8,32.4,80.4,14.4,1.5
Iowa 5,IA-05,2.34,4.2,1.9,34,75.4,19.8,1.3
Kansas 1,KS-01,2.41,7.9,1.8,28.1,82.3,14.1,0.2
Kansas 2,KS-02,2.42,6.3,3.2,23,76.5,19.6,0.2
Kansas 3,KS-03,2.53,1.2,3.9,8,79.6,19.6,0
Kansas 4,KS-04,2.43,5.5,3.2,16.4,77.2,20.9,0.2
Kentucky 1,KY-01,2.44,16.1,2.6,11.4,46.6,48.1,1
Kentucky 2,KY-02,2.5,13.2,4.8,7.3,46.5,49.1,1
Kentucky 3,KY-03,2.37,1,2.6,16.6,74.8,24.1,0.3
Kentucky 4,KY-04,2.51,10.2,4.1,16.3,52.2,40.7,3
Kentucky 5,KY-05,2.58,29.5,2.1,8.3,23.4,67.3,3
Kentucky 6,KY-06,2.39,6.2,5.5,9.8,43.1,54,1
Louisiana 1,LA-01,2.53,7.3,4.9,5.2,41.9,57.3,0.1
Louisiana 2,LA-02,3.34,1.8,1.9,23.9,N,N,N
Louisiana 3,LA-03,2.78,19.3,5.2,5.3,N,N,N
Louisiana 4,LA-04,2.51,18,3.9,4.3,48.7,49.1,0.1
Louisiana 5,LA-05,2.57,16,3.6,6.2,44,53.5,0.1
Louisiana 6,LA-06,2.53,11.7,5.5,3.9,36.2,62.5,0.1
Louisiana 7,LA-07,2.55,15.8,5.5,6.3,37.3,62.1,0.2
Maine 1,ME-01,2.36,6.4,2.6,27.2,13.5,4.9,74.5
Maine 2,ME-02,2.36,11.7,2,29.1,5.9,4.2,75.8
Maryland 1,MD-01,2.56,4.4,3.9,9.9,32.3,43.7,20.6
Maryland 2,MD-02,2.55,1.9,3.3,8.4,55,34.5,9.2
Maryland 3,MD-03,2.47,0.8,3.2,18.6,56.4,33.5,9.4
Maryland 4,MD-04,2.78,0.3,2.9,3.6,57.2,36.7,5.4
Maryland 5,MD-05,2.75,2.3,4.2,5.2,37.3,45,15.5
Maryland 6,MD-06,2.62,2.7,3.8,17.7,29.7,42,22.6
Maryland 7,MD-07,2.62,0.3,2,25.6,58.4,30,10.1
Maryland 8,MD-08,2.67,0.1,1.9,5.9,62.6,32.7,4.3
Massachusetts 1,MA-01,2.42,1.9,1.8,34,30.2,12.2,50.2
Massachusetts 2,MA-02,2.56,0.9,1.8,31.5,39.7,14.9,42.6
Massachusetts 3,MA-03,2.52,1,2.1,30.8,50.1,14.2,33.9
Massachusetts 4,MA-04,2.58,1.3,1.8,37.7,55.5,9.5,33.2
Massachusetts 5,MA-05,2.71,0.6,2.7,29.4,63.7,9.2,25.9
Massachusetts 6,MA-06,2.58,0.8,1.5,35.2,45.9,10.8,42
Massachusetts 7,MA-07,2.5,0.2,1.4,43.2,50.8,13.2,35.3
Massachusetts 8,MA-08,2.43,0.1,1.5,59.2,56.9,24.1,17.5
Massachusetts 9,MA-09,2.6,0.5,1.6,37.8,53.3,11.5,34.3
Massachusetts 10,MA-10,2.45,1.2,1.7,19.4,50.3,12.2,35.8
Michigan 1,MI-01,2.34,8.9,1.6,18.8,75.6,7.1,5.1
Michigan 2,MI-02,2.57,11,2.8,15,84.9,5.3,3
Michigan 3,MI-03,2.65,4.8,2.7,20.6,89.7,5.1,2.1
Michigan 4,MI-04,2.46,10.4,2.6,13.5,82,6.9,3.6
Michigan 5,MI-05,2.5,6,1.9,18.1,83.3,13.1,1.5
Michigan 6,MI-06,2.51,6.6,2.7,17.8,80.1,10.2,4.9
Michigan 7,MI-07,2.56,7.2,2.2,23.9,84.4,6.9,3.6
Michigan 8,MI-08,2.55,5.6,3.3,13.6,86.6,7.4,3
Michigan 9,MI-09,2.46,1.3,1.6,9.2,93.1,5.9,0.3
Michigan 10,MI-10,2.64,7.2,3.5,9.9,88.4,5.9,2.5
Michigan 11,MI-11,2.65,4.2,3.2,4,92.9,5.6,0.3
Michigan 12,MI-12,2.38,1.2,0.6,6.6,93.1,6.1,0.2
Michigan 13,MI-13,2.85,0.4,0.8,39.5,91.7,7.1,0.1
Michigan 14,MI-14,2.85,0.3,0.5,23.5,93.3,5.4,0.3
Michigan 15,MI-15,2.53,5.9,2.6,10.4,91.1,7.2,0.5
Minnesota 1,MN-01,2.39,4.2,3.2,25.2,79.7,11.6,3.4
Minnesota 2,MN-02,2.69,2.5,4.4,9.1,87.8,8.8,1.1
Minnesota 3,MN-03,2.54,0.3,2.4,4.1,89,9.3,0.6
Minnesota 4,MN-04,2.38,1.5,2,24.1,84.5,12.9,0.8
Minnesota 5,MN-05,2.17,0.4,2.1,34.6,84.2,13.5,0.6
Minnesota 6,MN-06,2.7,4,7.1,7.9,81.5,12.7,2.2
Minnesota 7,MN-07,2.29,7,3.2,22.8,58.5,25.5,9.2
Minnesota 8,MN-08,2.27,7.7,2.9,18.5,63.5,15.4,10.7
Mississippi 1,MS-01,2.59,14.9,4.3,5.7,57.6,39.4,0.2
Mississippi 2,MS-02,2.65,11.5,3.2,6.9,61.6,37,0.1
Mississippi 3,MS-03,2.55,18.2,4.3,6.7,48,49.6,0.1
Mississippi 4,MS-04,2.59,15.7,7.5,4.5,26.8,71.4,0.1
Missouri 1,MO-01,2.42,0.4,1.4,22.9,79.9,19.5,0.1
Missouri 2,MO-02,2.57,3,4.4,3.4,76.9,22.2,0.2
Missouri 3,MO-03,2.4,4.1,2.3,32.7,70.7,27.2,0.2
Missouri 4,MO-04,2.51,11.3,4.3,13.1,52,39.3,0.3
Missouri 5,MO-05,2.38,1.1,2.9,21.8,81.1,18.3,0.1
Missouri 6,MO-06,2.53,4.8,4.1,15.9,71,26,0.3
Missouri 7,MO-07,2.45,8.8,5.3,10.5,60.4,34.3,0.1
Missouri 8,MO-08,2.45,14.9,3.2,11.7,46,43,0.6
Missouri 9,MO-09,2.47,10.7,5,13.9,53.8,38.8,0.8
Montana At Large,MT-00,2.5,11.8,3.5,16.4,70.2,19,1.8
Nebraska 1,NE-01,2.48,3.2,4.3,22.4,68.8,26.9,1.1
Nebraska 2,NE-02,2.5,1,4.4,15.6,83.7,15.3,0.3
Nebraska 3,NE-03,2.39,7.2,1.4,31.9,67.1,27,1.1
Nevada 1,NV-01,2.79,2.9,6.8,0.2,56.8,42.8,0
Nevada 2,NV-02,2.7,12.4,5.5,3.6,70.4,22.2,3.1
Nevada 3,NV-03,2.61,3.1,11,0.2,69.7,29.9,0
New Hampshire 1,NH-01,2.54,5.7,2.7,19.8,33.4,8.3,53.4
New Hampshire 2,NH-02,2.52,6.2,2.5,24.5,31.9,5.8,51.5
New Jersey 1,NJ-01,2.64,1.7,2.3,18.3,75.5,11.5,12.2
New Jersey 2,NJ-02,2.56,3.4,3.3,15.5,64.4,13.4,20.4
New Jersey 3,NJ-03,2.58,1.5,2.4,6.3,76.8,12.5,9.6
New Jersey 4,NJ-04,2.71,1.7,3.3,12.3,73.4,14.3,11.4
New Jersey 5,NJ-05,2.81,0.6,1.3,19.9,69.9,6.4,22.3
New Jersey 6,NJ-06,2.7,0.6,1.9,19.1,81.8,10.1,7.5
New Jersey 7,NJ-07,2.84,0.3,1.4,14.7,77.1,7,15.2
New Jersey 8,NJ-08,2.93,0.2,0.8,26.3,84.1,4.9,10.3
New Jersey 9,NJ-09,2.54,0.4,1.3,30,77.3,10.1,12
New Jersey 10,NJ-10,2.75,0.2,1.6,27.2,72.8,10,16.3
New Jersey 11,NJ-11,2.71,0.3,1.9,14,66.5,7.2,25.3
New Jersey 12,NJ-12,2.68,0.9,3.1,11.8,79.3,10.8,9.2
New Jersey 13,NJ-13,2.58,0.3,3.1,35.5,74.7,14.3,10.2
New Mexico 1,NM-01,2.44,8.1,4.1,3.7,85.6,11.6,0.1
New Mexico 2,NM-02,2.71,22.7,3.9,6.2,74.4,18.9,0.1
New Mexico 3,NM-03,2.74,18.8,3.7,6.9,77.1,10.9,0.1
New York 1,NY-01,2.99,1.4,2.1,8.3,27.9,6.3,64.7
New York 2,NY-02,3.28,0.6,0.9,9.2,41.3,5.1,53.1
New York 4,NY-04,3.22,0.1,0.5,26.5,48.9,3.5,47
New York 5,NY-05,2.95,0.1,1,22.7,62.3,6.1,31
New York 6,NY-06,3.3,0,1.2,32.9,70.4,4.1,23.8
New York 7,NY-07,2.79,0.2,1,34.9,50.2,5,43.2
New York 8,NY-08,2.2,0,1.8,52.5,45.8,15.7,33.9
New York 9,NY-09,2.68,0,0.9,32.2,70.2,4.3,24.2
New York 10,NY-10,2.96,0.1,1.9,43.1,76.8,5.2,16.2
New York 11,NY-11,2.71,0.2,0.7,61.3,65.9,5.1,27.4
New York 12,NY-12,2.85,0.1,1.6,63.4,65.2,7.3,24.5
New York 13,NY-13,2.81,0.3,0.9,33.7,84.6,2.7,12.1
New York 14,NY-14,1.94,0,1.1,35.5,37,16.9,39.4
New York 15,NY-15,2.55,0,1.1,55,27.8,10.6,58.6
New York 16,NY-16,2.98,0.1,2.4,44.6,21.7,6.2,70.1
New York 17,NY-17,2.82,0.1,1.1,29.8,47.4,6.1,45.4
New York 18,NY-18,2.75,0.1,1.4,32,58.9,5.5,34.9
New York 19,NY-19,2.85,2.4,2.1,17.6,34.1,12.5,50.9
New York 20,NY-20,2.47,9.4,2.2,27.1,36.5,10.8,45.1
New York 21,NY-21,2.37,2.6,1.5,39.4,68.7,11.8,16.5
New York 22,NY-22,2.46,5,2,31.4,48.1,11.7,35.2
New York 23,NY-23,2.43,13.6,1.9,33.9,36.4,13.1,37.3
New York 24,NY-24,2.42,10.6,1.4,38,54.6,11.3,24.8
New York 25,NY-25,2.41,2.1,1.8,25.9,77.3,12.9,6.4
New York 26,NY-26,2.47,3.8,2,25,80,9.2,6.5
New York 27,NY-27,2.29,3.3,0.9,38.2,88.2,6.3,1.5
New York 28,NY-28,2.31,1.4,0.7,49,85.9,8.5,4.3
New York 29,NY-29,2.49,8.7,1.8,28.7,70.1,12.3,8.6
New York 3,NY-03,2.91,0.2,0.4,14,38.4,5.3,55.9
North Carolina 1,NC-01,2.38,18.4,3,10.3,39.5,52.6,5.6
North Carolina 2,NC-02,2.72,19.4,7,4.9,29.6,66.7,2.1
North Carolina 3,NC-03,2.4,19.2,5.8,3.8,24.2,72.3,1.8
North Carolina 4,NC-04,2.5,3.7,8.1,4.2,48.2,49.5,1
North Carolina 5,NC-05,2.45,17.6,3,6.8,22.4,56.9,16.2
North Carolina 6,NC-06,2.53,15.3,5,5.3,35.7,55.8,5.8
North Carolina 7,NC-07,2.5,23.6,4.3,4.7,22,74,2.6
North Carolina 8,NC-08,2.57,13,4.8,6.1,38.2,54.7,5.5
North Carolina 9,NC-09,2.54,3.6,8.4,3.1,58.2,39.5,1.4
North Carolina 10,NC-10,2.54,19.2,4,7.3,24.9,59.5,11.6
North Carolina 11,NC-11,2.26,19.1,3.2,8.5,25.3,48.4,18.3
North Carolina 12,NC-12,2.47,4.8,5.4,6.8,41.3,51.5,5.7
North Carolina 13,NC-13,2.48,9.7,6.5,6.7,43.9,51.4,3
North Dakota At Large,ND-00,2.24,7,3.7,17.9,57.5,33.8,5.3
Ohio 1,OH-01,2.57,1.1,1.3,30,71.3,24.4,2.7
Ohio 2,OH-02,2.57,6.2,3.4,15.4,57.6,34.6,5.2
Ohio 3,OH-03,2.43,2.3,2.1,15.8,66.9,28.1,2.9
Ohio 4,OH-04,2.48,5.8,2.2,26.6,68.1,22.3,4.4
Ohio 5,OH-05,2.47,7.3,2.3,29.8,72.4,19.2,3.1
Ohio 6,OH-06,2.4,11,1.8,22.3,62.2,25.3,7.1
Ohio 7,OH-07,2.58,4.4,3.6,16.5,71.4,22.8,3.7
Ohio 8,OH-08,2.56,2.8,3.1,18.2,63,29.8,5
Ohio 9,OH-09,2.43,3.6,2,26.9,81.3,15.7,1.1
Ohio 10,OH-10,2.33,0.9,0.8,29.8,89.7,8.8,0.3
Ohio 11,OH-11,2.3,0.6,0.5,40.3,86.5,11.9,0.3
Ohio 12,OH-12,2.48,1.2,5,10.8,76.2,21.4,1.6
Ohio 13,OH-13,2.49,1,2.9,16.3,86.5,11.7,0.8
Ohio 14,OH-14,2.58,2.7,2.5,13.6,79.3,11.3,5.7
Ohio 15,OH-15,2.44,1.2,2.4,14.9,75.6,22.6,0.9
Ohio 16,OH-16,2.54,3.5,2.6,21.6,77.4,14.5,4.2
Ohio 17,OH-17,2.32,3.8,1.6,23.2,83.9,11.3,2.9
Ohio 18,OH-18,2.6,12.9,2.8,27.2,60.5,26,5.8
Oklahoma 1,OK-01,2.45,3.6,4.6,6.1,73.1,26.2,0.1
Oklahoma 2,OK-02,2.53,17.6,3.1,9,55.7,35.3,0.1
Oklahoma 3,OK-03,2.52,11.8,3,14.3,69.5,26.6,0.1
Oklahoma 4,OK-04,2.55,8.5,5.1,6.7,62,36.2,0.2
Oklahoma 5,OK-05,2.49,3.5,3.6,9.8,68.7,30.5,0
Oregon 1,OR-01,2.59,4.3,5.2,9.8,49.4,44,2.2
